fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.5068649885583525,0.3070094955792374,0.24920783269990424,0.15789473684210525,0.23076923076923078
1,0.5926773455377574,0.3815297188022806,0.24282659410367052,0.2631578947368421,0.38461538461538464
2,0.5983981693363845,0.3306679662006725,0.23302563309143812,0.10526315789473684,0.15384615384615385
3,0.5672514619883041,0.4176908498711066,0.24287465467780406,0.2631578947368421,0.38461538461538464
4,0.6964912280701754,0.5292608643345289,0.2274293575487497,0.3157894736842105,0.46153846153846156
5,0.5331807780320366,0.35460205543218914,0.2526781443426417,0.21052631578947367,0.3076923076923077
6,0.7528604118993134,0.590304259461736,0.2063734201391848,0.42105263157894735,0.6153846153846154
7,0.5629290617848971,0.336553892449583,0.24974914921618124,0.21052631578947367,0.3076923076923077
8,0.4912280701754386,0.3794407275263172,0.25317411893273195,0.2631578947368421,0.38461538461538464
9,0.5298245614035088,0.3613524854231811,0.2425531437566858,0.15789473684210525,0.23076923076923078
10,0.6247139588100687,0.4123679117322937,0.2321807048832883,0.3157894736842105,0.46153846153846156
11,0.5400457665903889,0.35583155592019255,0.24247765134966814,0.21052631578947367,0.3076923076923077
12,0.522883295194508,0.40270228133408054,0.2479345208502226,0.21052631578947367,0.3076923076923077
13,0.6491228070175438,0.5151018139646417,0.2313473257584533,0.3684210526315789,0.5384615384615384
14,0.5157894736842106,0.307577604505885,0.24305956541175,0.2631578947368421,0.38461538461538464
15,0.6167048054919909,0.35590825579687746,0.23528446019446977,0.2631578947368421,0.38461538461538464
16,0.6384439359267735,0.5819324313910632,0.23878724217427655,0.3157894736842105,0.46153846153846156
17,0.5829519450800915,0.3874642963488493,0.2355945789106011,0.3157894736842105,0.46153846153846156
18,0.6315789473684211,0.44722997792383457,0.23578798456074807,0.3157894736842105,0.46153846153846156
19,0.45614035087719296,0.2756353671355495,0.2641138062525614,0.10526315789473684,0.15384615384615385
20,0.6624713958810069,0.544443371631282,0.22552386581622552,0.3684210526315789,0.5384615384615384
21,0.5892448512585812,0.37377113051273203,0.22974184007585996,0.2631578947368421,0.38461538461538464
22,0.5846681922196796,0.3470503544324445,0.24729207940301706,0.15789473684210525,0.23076923076923078
23,0.5286549707602339,0.36723973321974396,0.24605455956844585,0.21052631578947367,0.3076923076923077
24,0.5883040935672516,0.5111697624979639,0.2470529432178818,0.2631578947368421,0.38461538461538464
25,0.5377574370709381,0.3912961222771597,0.24545668505935955,0.3157894736842105,0.46153846153846156
26,0.4782608695652173,0.32630393985438544,0.25557779710014683,0.2631578947368421,0.38461538461538464
27,0.6407322654462242,0.5049007317315501,0.23714499415184748,0.3684210526315789,0.5384615384615384
28,0.5298245614035088,0.3811542230462607,0.24947254116924616,0.3157894736842105,0.46153846153846156
29,0.697076023391813,0.5660195917386157,0.21324982997393224,0.42105263157894735,0.6153846153846154
30,0.6006864988558351,0.44121275320176145,0.2379857660113087,0.2631578947368421,0.38461538461538464
31,0.5737986270022883,0.5014782368021816,0.2251686271012588,0.2631578947368421,0.38461538461538464
32,0.6235697940503432,0.4712862598942388,0.23829003687981565,0.3157894736842105,0.46153846153846156
33,0.5614035087719298,0.40156224806876767,0.24283055727153974,0.2631578947368421,0.38461538461538464
34,0.6456140350877193,0.3995482980692172,0.23322349540258086,0.3157894736842105,0.46153846153846156
35,0.5148741418764302,0.35627409755513684,0.256277646505321,0.3157894736842105,0.46153846153846156
36,0.522883295194508,0.3269839321726626,0.25563728841000605,0.21052631578947367,0.3076923076923077
37,0.48283752860411894,0.3004057919318104,0.2508264307435906,0.15789473684210525,0.23076923076923078
38,0.7298245614035088,0.5719717877288579,0.20911864802082591,0.3157894736842105,0.46153846153846156
39,0.49005847953216375,0.3554910355846764,0.25504826719582296,0.21052631578947367,0.3076923076923077
40,0.517162471395881,0.3059124463696674,0.2456926046158531,0.21052631578947367,0.3076923076923077
41,0.5617848970251715,0.44172430052562356,0.24796020323322485,0.2631578947368421,0.38461538461538464
42,0.6910755148741419,0.4915477099513902,0.22465356543598963,0.47368421052631576,0.6923076923076923
43,0.6456140350877193,0.4449136020153777,0.22980044022829976,0.2631578947368421,0.38461538461538464
44,0.6678362573099415,0.49750779996140426,0.22429678026577704,0.3157894736842105,0.46153846153846156
45,0.5583524027459954,0.4152590728922182,0.23849666293926575,0.21052631578947367,0.3076923076923077
46,0.6464530892448512,0.49175449686665124,0.22172052799008934,0.3157894736842105,0.46153846153846156
47,0.5102974828375286,0.3455380751907435,0.25697590126242104,0.2631578947368421,0.38461538461538464
48,0.615204678362573,0.439070221864289,0.23897722655584341,0.3684210526315789,0.5384615384615384
49,0.535672514619883,0.32319742839112175,0.2449927992642531,0.15789473684210525,0.23076923076923078
