fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.6613272311212814,0.41904527977101924,0.22002684873211328,0.3157894736842105,0.46153846153846156
1,0.7471395881006866,0.48001502137253926,0.20642809329996442,0.3157894736842105,0.46153846153846156
2,0.7425629290617849,0.5317910726713027,0.203155434044538,0.3157894736842105,0.46153846153846156
3,0.6736842105263158,0.5590602275960448,0.22155638711406883,0.3684210526315789,0.5384615384615384
4,0.7614035087719299,0.5822969187225675,0.2026670009477899,0.42105263157894735,0.6153846153846154
5,0.7093821510297482,0.5557803137584958,0.21176026772585801,0.3684210526315789,0.5384615384615384
6,0.8443935926773455,0.7244897656275364,0.16544156730753615,0.47368421052631576,0.6923076923076923
7,0.6350114416475974,0.3671275999940841,0.2329914067733452,0.15789473684210525,0.23076923076923078
8,0.7239766081871345,0.580120107077757,0.22196661931940032,0.3684210526315789,0.5384615384615384
9,0.6339181286549708,0.3932408674897704,0.23247951800663788,0.21052631578947367,0.3076923076923077
10,0.780320366132723,0.5731227882590866,0.19041095889303916,0.42105263157894735,0.6153846153846154
11,0.7700228832951945,0.5899883997262436,0.20530612198990966,0.3684210526315789,0.5384615384615384
12,0.7322654462242564,0.47853272315733614,0.21389413660051054,0.2631578947368421,0.38461538461538464
13,0.712280701754386,0.6646399766386265,0.19607995864316674,0.42105263157894735,0.6153846153846154
14,0.6315789473684211,0.38931349937604964,0.2275521925057692,0.3157894736842105,0.46153846153846156
15,0.7540045766590389,0.5619821659855293,0.1961912892692503,0.3684210526315789,0.5384615384615384
16,0.6498855835240275,0.5184670768384012,0.24283654212066527,0.3684210526315789,0.5384615384615384
17,0.8077803203661328,0.6239727291094179,0.18833272013957977,0.42105263157894735,0.6153846153846154
18,0.7076023391812866,0.4472898179414858,0.2172592061220414,0.3157894736842105,0.46153846153846156
19,0.6514619883040935,0.4809899343347319,0.21903152386981428,0.3157894736842105,0.46153846153846156
20,0.7917620137299771,0.6208580037420228,0.19741311527761096,0.42105263157894735,0.6153846153846154
21,0.7471395881006865,0.6522846910126818,0.19208273665371908,0.42105263157894735,0.6153846153846154
22,0.6304347826086956,0.3862900319655293,0.24869076470182908,0.3157894736842105,0.46153846153846156
23,0.6888888888888889,0.4339156764163366,0.21556591441458522,0.3157894736842105,0.46153846153846156
24,0.7719298245614035,0.6180802655065014,0.20851866802981409,0.3157894736842105,0.46153846153846156
25,0.7551487414187643,0.5736521110339012,0.19523818792563702,0.3684210526315789,0.5384615384615384
26,0.6384439359267734,0.43572259445228523,0.2387819891465262,0.3157894736842105,0.46153846153846156
27,0.7791762013729977,0.5939249634868158,0.19248132774392931,0.47368421052631576,0.6923076923076923
28,0.6070175438596491,0.41289239703840547,0.2707325982063134,0.3684210526315789,0.5384615384615384
29,0.808187134502924,0.6779030910609858,0.16769091928953903,0.47368421052631576,0.6923076923076923
30,0.6636155606407322,0.5283676629186909,0.22506304014417203,0.3684210526315789,0.5384615384615384
31,0.7414187643020594,0.6103989017183495,0.1945311147053136,0.3684210526315789,0.5384615384615384
32,0.7860411899313502,0.5399509803762013,0.20910504578193034,0.3157894736842105,0.46153846153846156
33,0.7777777777777778,0.5983946289344917,0.19015695554438672,0.3684210526315789,0.5384615384615384
34,0.712280701754386,0.4632392700061747,0.21414697468940191,0.3157894736842105,0.46153846153846156
35,0.6830663615560641,0.42908112057035647,0.22062668579132766,0.2631578947368421,0.38461538461538464
36,0.6613272311212814,0.5054388879322951,0.22640537754513987,0.3684210526315789,0.5384615384615384
37,0.7105263157894737,0.5250509752244047,0.20447855679038962,0.3684210526315789,0.5384615384615384
38,0.8760233918128655,0.7537977776156394,0.16151566946307744,0.5263157894736842,0.7692307692307693
39,0.6023391812865497,0.35987165278621835,0.259196315531259,0.21052631578947367,0.3076923076923077
40,0.6773455377574371,0.4315301028963935,0.2311306925206256,0.2631578947368421,0.38461538461538464
41,0.694508009153318,0.5424003801065107,0.23068986747878448,0.2631578947368421,0.38461538461538464
42,0.8089244851258581,0.655269203283837,0.1848735336473048,0.47368421052631576,0.6923076923076923
43,0.7333333333333334,0.5809939890050613,0.20040646920126942,0.42105263157894735,0.6153846153846154
44,0.8023391812865497,0.5576894643742741,0.18466767000524734,0.3684210526315789,0.5384615384615384
45,0.683066361556064,0.39314143501804233,0.2446712029266212,0.15789473684210525,0.23076923076923078
46,0.7585812356979404,0.6341654418820337,0.17710973114252818,0.3157894736842105,0.46153846153846156
47,0.719679633867277,0.4940433217852244,0.2122825136913001,0.3684210526315789,0.5384615384615384
48,0.7239766081871344,0.6287115248620021,0.21255070080402905,0.47368421052631576,0.6923076923076923
49,0.7157894736842105,0.5263439778707215,0.2028818769320786,0.3684210526315789,0.5384615384615384
