capacidad,sensibilidad,vpp,umbral
0.05,0.07368421052631578,0.4375,0.6521841379493337
0.1,0.16842105263157894,0.5,0.6164709529244875
0.15,0.24210526315789474,0.4791666666666667,0.596701542615701
0.2,0.2736842105263158,0.4,0.5773471072677626
0.25,0.3157894736842105,0.37037037037037035,0.5578991682340764
0.3,0.3684210526315789,0.36082474226804123,0.538877771591075
0.35,0.4421052631578947,0.37168141592920356,0.5225370928793363
0.4,0.4631578947368421,0.34108527131782945,0.5088267656417539
0.45,0.49473684210526314,0.32413793103448274,0.4996725379356479
0.5,0.5684210526315789,0.3333333333333333,0.4825905872208196
